Unnamed: 0,accident_date,aircraft_type,registration,operator,fatalities,location,damage_severity,manufacturer
832,6 Aug 2019,Cessna 510 Citation Mustang,CC-ANR,private,1.0,"0,4 km N of Los Ángeles-María Dolores Airport (LSQ)",W/O,Cessna
833,6 Aug 2019,Cessna 208B Supervan 900,C-FSKF,Alkan Air,2.0,"46 km ENE of Mayo Airport, YT (YMA)",W/O,Cessna
834,6 Aug 2019,Cessna 208B Grand Caravan,5H-NOW,Tropical Air,0.0,Mafia Airport (MFA),W/O,Cessna
835,6 Aug 2019,Ilyushin Il-76TD,UR-COZ,SkyAviatrans,0.0,Misrata International Airport (MRA),W/O,Ilyushin
836,6 Aug 2019,Cessna 560XLS+ Citation XLS+,D-CAWM,Aerowest,0.0,Aarhus Airport (AAR/EKAH),W/O,Cessna
837,7 Aug 2019,British Aerospace 3201 Jetstream 32,HK-4540,SARPA - Servicios Aéreos Panamericanos,0.0,Bahía Solano-José Celestino Mutis Airport (BSC),Sub,British
838,7 Aug 2019,HS-125/BAe-125,,unknown,0.0,"Las Pilas, Champerico, Retalhuleu",W/O,Hs-125/Bae-125
839,8 Aug 2019,Airbus A320-232,N505JB,Jetblue Airways,0.0,"Charlottesville, Virginia",Non,Airbus
840,8 Aug 2019,Bombardier CL-600-2B16 Challenger 604,N237QS,Netjets,0.0,"Lubbock, Texas",Non,Bombardier
841,8 Aug 2019,Airbus A321-211 (WL),N717FR,Frontier Airlines,0.0,"Orlando International Airport, FL (MCO)",Sub,Airbus
842,10 Aug 2019,Canadair CL-600-2B16 Challenger 601,N602TS,private,0.0,Nassau-Lynden Pindling International Airport (NAS),Sub,Canadair
843,12 Aug 2019,Boeing 787-9 Dreamliner,G-CKWB,Norwegian Air UK,0.0,London-Gatwick Airport (LGW),Min,Boeing
844,14 Aug 2019,de Havilland Canada DHC-6 Twin Otter 200,T-82,Fuerza Aérea Argentina - FAA,0.0,54 km from Base Marambio,Sub,De
845,14 Aug 2019,Beechcraft Super King Air,XB-...,Unknown,0.0,"El Ramonal, Chetumal, Quintana Roo",W/O,Beechcraft
846,15 Aug 2019,Boeing 787-8 Dreamliner,JA808A,All Nippon Airways - ANA,0.0,"Over Chengde, Hebei Province",Non,Boeing
847,15 Aug 2019,de Havilland Canada DHC-6 Twin Otter 300,N322AV,Berry Aviation,0.0,"San Marcos Regional Airport, TX",Sub,De
848,15 Aug 2019,Cessna 680A Citation Latitude,N8JR,JRM Air LLC,0.0,"Elizabethton Municipal Airport, TN",W/O,Cessna
849,15 Aug 2019,Airbus A321-211,VQ-BOZ,Ural Airlines,0.0,ca 5 km SE of Zhukovsky International Airport (ZIA),Sub,Airbus
850,16 Aug 2019,de Havilland Canada DHC-8-200,5Y-SLM,SafariLink,0.0,Kichwa Tembo Airstrip,Sub,De
851,18 Aug 2019,Cessna 208B Grand Caravan EX,N879MA,Mokulele Airlines,0.0,"Kapalua Airport, HI (JHM)",Sub,Cessna
852,18 Aug 2019,Boeing 757-251 (WL),N543US,Delta Air Lines,0.0,"Ponta Delgada-João Paulo II Airport, Azores (PDL)",Sub,Boeing
